City,Name of Attraction,Category,Hours,Rating,Cost (euro),,Ciudades,,Types of categories
Madrid,Prado National Museum,Museum,3,9,15,,Madrid,,Nightlife
Madrid,Parque del Retrio,Nature and Parks,3,9,0,,Barcelona,,Landmark
Madrid,Santiago Bernabeu Stadium Tour,Landmark,2,9,25,,Paris,,Spas and Wellness
Madrid,Royal Palace of Madrid,Landmark,3,9,21.69,,Marseille,,Fun and Games
Madrid,Museo Nacional Thyssen-Bornemisza,Museum,3,9,33.1,,London,,Museum
Madrid,Museo Nacional Centro de Arte Reina,Museum,3,9,18.26,,Manchester,,Classes and Workshop
Madrid,Museo Sorolla ,Museum,1,9,0,,Rome,,Nature and Parks
Madrid,Gran Via,Landmark,1,9,0,,Lisboa,,BoatTours and WaterSports
Madrid,Plaza Mayor,Landmark,2,8,0,,Berlin,,Casinos
Madrid,Barrio Salamanca,Landmark,1,9,0,,,,Water and Amusement Parks
Madrid,Spanish Cooking Class ,Classes and Workshop,4,10,79.92,,,,Zoo and Aquariums
Madrid,Panoramic Tour by Double-Decker bus,Landmark,2,8,20.55,,,,
Madrid,Madrid Wine Tasting Tour ,Fun and Games,6,10,137.01,,,,
Madrid,Segway Tour Madrid,Landmark,3,10,34.25,,78,,
Madrid,Zoo Aquarium de Madrid,Zoo and Aquariums,3,8,24,,9.75,,
Madrid,Palacio de Cristal,Landmark,1,9,0,,59,,
Madrid,Plaza de Toros de las Ventas,Landmark,2,8,23.31,,548,,
Madrid,Torres Bermejas ,Nightlife,1,9,28.54,,60.88888889,,
Madrid,Electric Tuk Tuk Tour of Historic Madrid,Landmark,2,10,67.94,,7.611111111,,
Madrid,Pub Crawl in Madrid by Madpartycrew,Nightlife,5,10,19.41,,,,
Madrid,Museo Arqueologico Nacional,Museum,3,9,3,,,,
Madrid,Mercado San Miguel,Landmark,2,9,0,,,,
Madrid,Horse Riding Madrid Natural Nature and Parks,Fun and Games,3,10,57.09,,,,
Madrid,Wanda Metroplitano Tour,Landmark,2,9,24,,,,
Madrid,Casino Gran Via,Casinos,2,8,0,,,,
Madrid,Parque Warner Madrid,Water and Amusement Parks,3,7,52.9,,,,
Madrid,Museo Naval,Museum,3,9,0,,,,
Madrid,Segovia and Toledo Day Trip ,Landmark,6,9,63.94,,,,
Madrid,Madrid Bike Tour,Landmark,3,10,28.54,,,,
Barcelona,Basilica De La Sagrada Familia,Landmark,2,9,43,,,,
Barcelona,Barrio Gotico,Landmark,2,9,0,,,,
Barcelona,Casa Batilo,Museum,1,9,35,,,,
Barcelona,Palau De la Musica Catalana,Museum,1,9,12,,,,
Barcelona,La Pedrera,Landmark,1,9,0,,,,
Barcelona,Camp Nou,Landmark,3,9,15,,,,
Barcelona,Mercat De La Boqueria,Landmark,1,9,0,,,,
Barcelona,Basilica Santa Maria Del Mar,Landmark,1,9,0,,,,
Barcelona,Recinte Modernista de Sant Pau,Landmark,2,9,15,,,,
Barcelona,MNAC,Museum,2,9,12,,,,
Barcelona,Catedral de Barcelona,Landmark,1,9,0,,,,
Barcelona,Font Magica,Landmark,2,9,0,,,,
Barcelona,Parc de Montjuic,Nature and Parks,2,9,12,,,,
Barcelona,CosmoCaixa,Museum,3,9,0,,,,
Barcelona,Casa Vicens,Museum,2,9,16,,,,
Barcelona,Paseo de Gracia,Landmark,4,9,0,,,,
Barcelona,Palau Güell,Museum,2,9,0,,,,
Barcelona,Parc de la Ciutadella,Nature and Parks,3,9,0,,,,
Barcelona,Museu de l'Erotica,Museum,1,9,10,,,,
